English,Tulu
Hi,Namaskara
Hello,Namaskara
Hey,Namaskara
How are you?,Yencha ullar ?
What are you doing?,daada malthondullar?
 Had lunch?,Vanas aande?
 Had dinner?,Vanas aande?
Then what’s special?,Bokka vishesha?
Let’s go,poyi
ok,aawu
where,awlu
here,moolu
where are you?,olu ullar?
when?,yaapa?
 no,ijji
yes,andh
tell,panle
don’t tell,panodchi
come,bale
don’t come,barodchi
give,korle
don’t give,korodchi
drink,parle
don’t drink,parodchi
chicken,kori
fish,meen
he,aaye
she,aal
i,yaan
you,ee
what’s your name?,irna pudar daade?
 want,bodu
don't want,bodchi
isn't,att
aren't,att
bye,barpe
call the police,police n leppule
can you help me,enk onji upakara malpuvare?
come in,ulai bale
do you like me too?,iregla yaan ishtane?
do you speak tulu?,ireg tulu barpunde?
fire,tu
get well soon,bega usharaale
go back ,pira pole
go forward,dump pole
god bless,dever edde malpad
had breakfast?,naashta aande?
had tea?,cha paryare?
how do you say this one in tulu?,undu tulutu yencha panpini
how much is this?,nekk eth?
how old are you?,ireg praya eth aand?
I am fine,soukhya
we are fine,nama soukhya
I am from Mangalore,yan kudla d dh baide!
I am Manglorean,yan kudladaye
I am from Udupi,yan udupi daye!
I am hungry,yenk bada avondundu
I am Thirsty,yenk bajel avondundu
I don't know,gottuji
I can understand,yenk arthapundu
I know,yenk gottundu
I like you,enk ir ishta
I love you,yan eren moke malpuve!
I want to get down here,yan mulu jappuve
Listen,kenle
Long time no see,mast samaya aand tudu
My name is,yenna pudar
no problem,malleji
it's ok,malleji
please,dayamalt
say that again,kuda panle
please say that again,kuda panpare
please speak slowly,onte mella paterle
see you again,kuda tikk ga
sit down,kullule
stop,untule
thank you,solmelu
welcome,svagatta
what's the time now?,gante ethand?
what is this?,undu daade?
where are you from?,ir oltar?
where is your hometown?,irna uru olpa?
where are you going?,ir doora povondullar?
water,neer
leg,kaar
hand,kayi
face,mone
eyes,kann
Nice to meet you,eer thikudu mast santosha aand
I’m sorry ,yenna tappand
See you later,Bokka thikkuga
Goodbye,barpe
I can’t speak Tulu,enku Tulu barpujji
Do you speak English?,ereg English pathere barpunda?
 Help,sahaya
Look out,jaagrate
I don’t understand ,yenk gottapuji
Where is the bathroom?, kotya volu undu?
problem,tondare
come,bale
go,pole
lunch,Vanas 
dinner,vanas
Go to sleep,jeppare pole
 Get up,lakkule
Go fast ,bega pole
go slow,mella pole
Go away,mulpadu pole
Keep quite ,manipande kullule
 Are you married?,Eereg madme aathunda?
Beautiful girl,Porlu ponnu
"Come in, be seated","Bale, kullule"
 Did you have your food?,Vanas aanda?
Do you have children? ,Eereg jokulu unda?
He is a good person,aaye baari edde jana
I am unmarried,Yank madme aathijji
I am married,Yenk madme aathundu
I will come back,yan pira barpe
I’ll wait,yan kapuve
 Is there a Telephone nearby?,Mulpa kaithaal telephone unda?
 May I use your telephone? ,Yaan phone malpolia?
Please give the bill,Daya malthdu bill korle
Please wait for a moment,onji nimisha untule
this is my house,undu yenna ill
that is my house,avu yenna ill
What do you need? ,Eereg daada bodu?
Where are you working?,Eer olu bele maltondullar?
All are welcome,Maatergla swaagata
When did you come?,eer yepa battini?
Let’s meet again,bokka tikkuga
I will come,yan barpe
when?,yepa?
why?,dayegu?
how?,yencha?
useful,prejana
useless,bodchandina
finished,mugeendu
Blouse,ravake
Skirt,langa
Saree,seere
Lungi,mundu
Turban,mundas
Shawl,shall
hat,toppi
cap,toppi
dhoti,kachha
Good morning,Shubha udya
Good night,Shubha ratre
Good evening,Shubha saanje
Good afternoon,Shubha madhyana
How’s everything?,Ell yenchina ullar?
I’m good,Yenk chennay ullundu
I’m tired,Yenk baduk avundu
I’m sleepy,Yenk nidre avundu
I’m busy,Yenk kelasa ullundu
I’m free,Yenk kelasa ijji
Wait,Kaple
Be careful,Jaagrate irle
Take care,Jaagrate ullu
Come fast,Bega bale
Go slow,Mella pole
Be quiet,Manipande ullu
Don’t worry,Yench worry malchi
What happened?,Daade ayand?
What’s this noise?,Undu shabda daade?
What are you saying?,Daade panondullar?
What’s going on?,Daade nadpundu?
I’m coming,Yenk barpundu
I’m going,Yenk povundu
Wait a second,Onji nimisha kaple
Be patient,Shanti ullu
That’s right,Avu sari
That’s wrong,Avu tappu
Come here,Mool bale
Go there,Avle pole
Open the door,Battale terele
Close the door,Battale muchule
Sit here,Mool kullule
Stand up,Nillule
Sleep well,Shubha nidre
Wake up early,Bega lakkule
Eat well,Chennay vanas aale
Drink water,Neer parle
Call me,Enk leppule
Don’t go,Porodchi
Don’t worry, I’m here,Worry malchi, yenk mool ullundu
Wait for me,Enk kaple
Let’s eat,Vanas aale
Let’s meet,Tikkuga
Let’s talk,Mat panpuga
Come tomorrow,Nale bale
Go tomorrow,Nale pole
Come today,Inne bale
Go today,Inne pole
It’s raining,Maale barpundu
It’s hot,Besha avundu
It’s cold,Thampu avundu
Nice weather,Chennay hava
Bad weather,Tondare hava

